192.168.1.50	6c-4b-90-a5-03-f5	LiteON
192.168.1.99	08-bf-b8-d5-c4-35	ASUSTek COMPUTER INC.
192.168.1.103	50-eb-f6-c9-71-c0	ASUSTek COMPUTER INC.
192.168.1.105	fc-34-97-3c-bd-9d	ASUSTek COMPUTER INC.
192.168.1.106	04-92-26-e0-e4-0d	ASUSTek COMPUTER INC.
192.168.1.108	50-eb-f6-c9-01-05	ASUSTek COMPUTER INC.
192.168.1.125	a8-5e-45-d2-da-93	ASUSTek COMPUTER INC.
192.168.1.185	b0-6e-bf-ca-35-98	ASUSTek COMPUTER INC.
192.168.1.195	f0-9f-fc-bd-2b-eb	SHARP Corporation
192.168.1.199	00:11:32:CE:4C:B9	Synology Incorporated
192.168.1.201	08-bf-b8-d5-c3-4f	ASUSTek COMPUTER INC.
192.168.1.202	08-bf-b8-d5-c1-3f	ASUSTek COMPUTER INC.
192.168.1.204	08-bf-b8-d5-c1-d2	ASUSTek COMPUTER INC.
192.168.1.205	1c-69-7a-77-3e-a2	EliteGroup Computer Systems Co., LTD
192.168.1.206	04-92-26-df-11-d0	ASUSTek COMPUTER INC.
192.168.1.207	08-bf-b8-d5-d7-bb	ASUSTek COMPUTER INC.
192.168.1.218	14-dd-a9-d4-81-05	ASUSTek COMPUTER INC.
192.168.1.220	30:5A:3A:79:3B:43	ASUSTek COMPUTER INC.
192.168.1.225	58-11-22-76-10-25	ASUSTek COMPUTER INC.
192.168.1.235	4C:D9:8F:1F:B2:7C	Dell Inc.
192.168.1.242	94-40-c9-2f-bb-80	Hewlett Packard Enterprise
192.168.1.251	00-0c-29-cb-c7-70	VMware, Inc.
192.168.1.252	00-50-7f-c3-e9-e4	DrayTek Corp.
192.168.1.253	00-17-c5-b0-8c-34	SonicWALL
192.168.1.254	00-1d-aa-44-2e-b8	DrayTek Corp.
